"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Plantae&taxon_reso=genus&max_ma=75&min_ma=0&cc=NOA&envtype=terr&show=class,genus,ecospace,coords,paleoloc,strat,lith,env,acconly"
"Access Time","Fri 2015-12-04 21:27:20 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Plantae"
"","cc","NOA"
"","envtype","terr"
"","min_ma","0"
"","max_ma","75"
"","taxon_reso","genus"
"","taxon_status","all"
"","ident","latest"
"","show","class,genus,ecospace,coords,paleoloc,strat,lith,env,acconly"
"Elapsed Time","1.05"
"Records Found","5450"
"Records Returned","5450"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","phylum","class","order","family","genus","motility","life_habit","diet","lng","lat","paleomodel","paleolng","paleolat","geoplate","formation","stratgroup","member","lithdescript","lithology1","lithification1","minor_lithology1","lithology2","lithification2","minor_lithology2","environment"
"130997","occ","","","10808","Equisetum magnum","species","55230","Clarkforkian","","56.8","55.8","4023","Equisetophyta","Equisetopsida","Equisetales","Equisetaceae","Equisetum","","","","-102.083336","46.916668","gp_mid","-69.72","53.59","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Includes sandstone and shale also","siltstone","","","sandstone","","","""channel"""
"130998","occ","","","10808","Meliosma longifolia","species","55322","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Ranunculales","Sabiaceae","Meliosma","","","","-102.083336","46.916668","gp_mid","-69.72","53.59","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Includes sandstone and shale also","siltstone","","","sandstone","","","""channel"""
"130999","occ","","","10808","Musophyllum complicatum","species","55285","Clarkforkian","","56.8","55.8","4023","Angiospermae","","Zingiberales","Musaceae","Musophyllum","","","""photoautotroph""","-102.083336","46.916668","gp_mid","-69.72","53.59","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Includes sandstone and shale also","siltstone","","","sandstone","","","""channel"""
"131000","occ","","","10808","Trochodendroides serrulata","species","55339","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Saxifragales","Cercidiphyllaceae","Trochodendroides","","","","-102.083336","46.916668","gp_mid","-69.72","53.59","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone. Includes sandstone and shale also","siltstone","","","sandstone","","","""channel"""
"131001","occ","","","10809","Cercidiphyllum genetrix","species","55303","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Saxifragales","Cercidiphyllaceae","Cercidiphyllum","","","","-102.083336","46.916668","gp_mid","-69.72","53.59","101","Golden Valley","","Bear Den","Dominantly interchannel siltstone with some sandstone","siltstone","","","sandstone","","","""channel"""
"131002","occ","","","10810","Ampelopsis acerifolia","species","55497","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Dicotyledonae","Rhamnales","Vitaceae","Ampelopsis","","","","-102.112503","47.306389","gp_mid","-69.52","53.96","101","Golden Valley","","Bear Den","dominantly interchannel siltstone; Some sandstone and shale","siltstone","","","","","","""channel"""
"131003","occ","","","10810","Averrhoites affinis","species","55315","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Sapindales","Oxalidaceae","Averrhoites","","","","-102.112503","47.306389","gp_mid","-69.52","53.96","101","Golden Valley","","Bear Den","dominantly interchannel siltstone; Some sandstone and shale","siltstone","","","","","","""channel"""
"131004","occ","","","10810","Canariophyllum ampla","species","55318","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Sapindales","Burseraceae","Canariophyllum","","","","-102.112503","47.306389","gp_mid","-69.52","53.96","101","Golden Valley","","Bear Den","dominantly interchannel siltstone; Some sandstone and shale","siltstone","","","","","","""channel"""
"131005","occ","","","10810","Corylus acutertiaria","species","55295","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","Fagales","Betulaceae","Corylus","","","","-102.112503","47.306389","gp_mid","-69.52","53.96","101","Golden Valley","","Bear Den","dominantly interchannel siltstone; Some sandstone and shale","siltstone","","","","","","""channel"""
"131006","occ","","","10810","Dicotylophyllum anomalum","species","55235","Clarkforkian","","56.8","55.8","4023","Spermatophyta","Magnoliopsida","","","Dicotylophyllum","","","","-102.112503","47.306389","gp_mid","-69.52","53.96","101","Golden Valley","","Bear Den","dominantly interchannel siltstone; Some sandstone and shale","siltstone","","","","","","""channel"""
