authorizer,enterer,modifier,reference_no,author1init,author1last,author2init,author2last,otherauthors,pubyr,reftitle,pubtitle,editors,pubvol,pubno,firstpage,lastpage,publication_type,basis,language,doi,comments,project_name,project_ref_no,created,modified
"C. Labandeira","C. Labandeira","J. Karr",4966,"C. T.",Brues,,,,1908,"Two Fossil Phoridae from the Miocene Shales of Florissant, Colorado","Bulletin of the American Museum of Natural History",,24,,273,275,"journal article","stated without evidence",English,,"ETE reference number 678",ETE,678,"2002-03-04 16:40:45","2011-08-05 13:48:45"
"C. Labandeira","C. Labandeira","M. Clapham",4968,"C. T.",Brues,,,,1910,"The parasitic Hymenoptera of the Tertiary of Florissant, Colorado","Bulletin of the Museum of Comparative Zoology, Harvard College",,44,1,3,125,"journal article","stated without evidence",English,,"ETE reference number 680",ETE,680,"2002-03-04 16:40:45","2014-05-22 01:01:12"
"A. Miller","S. Kolbe",,36540,"A. F.",Buddington,T.,Chapin,,1929,"Geology and mineral deposits of southeastern Alaska","United States Geological Survey Bulletin",,800,,1,398,"journal article","stated without evidence",English,,,,,"2011-06-28 00:11:40","2011-06-27 09:11:40"
"S. Wing","H. Lindon","H. Lindon",6889,"R. J.",Burnham,,,,1987,"Inferring Vegetation from Plant-Fossil Assemblages: Effects of Depositional Environment and Heterogeneity in the Source Vegetation on Assemblages from Modern and Ancient Fluvial-Deltaic Enviornments",,,,,,,"Ph.D. thesis","stated without evidence",,,"The information in this reference was later published in a USGS bulliton and entered as ref 6584. so the collections for ref 6584 should be linked to this ref as well",,,"2002-08-07 06:32:30","2002-08-08 06:06:42"
"H. Sims","H. Lindon","H. Lindon",6584,"R. J.",Burnham,,,,1994,"Paleoecological and Floristic Heterogeneity in the Plant-Fossil Record - An Analysis Based on the Eocene of Washington","United States Geological Survey Bulletin",,2085-B,,1,36,"journal article","stated without evidence",,,,,,"2002-06-28 06:27:48","2002-06-28 08:27:48"
"J. Alroy","J. Alroy",,31647,"J. A.",Burns,,,,1991,"Mid-Wisconsinan vertebrates and their environment from January Cave, Alberta, Canada","Quaternary Research",,35,1,130,143,"journal article","none discussed",English,,,,,"2010-01-20 18:41:55","2010-01-20 20:41:55"
"M. Clapham","M. Clapham",,52836,"P. P.",Calvert,,,,1913,"The fossil odonate Phenacolestes, with a discussion of the venation of the legion Podagrion Selys","Proceedings of the Academy of Natural Sciences of Philadelphia",,65,,225,272,"journal article","stated with evidence",English,,,,,"2014-09-20 13:20:11","2014-09-20 13:20:11"
"M. Clapham","M. Clapham",,48492,"F. M.",Carpenter,,,,1931,"The affinities of Holcorpa maculosa Scudder and other Tertiary Mecoptera, with descriptions of new genera","Journal of the New York Entomological Society",,39,,405,415,"journal article","stated with evidence",English,,,,,"2013-10-11 10:07:41","2013-10-10 18:07:41"
"J. Alroy","J. Alroy","J. Alroy",7289,"J. L.",Cavin,"D. B.",Lien,"C. L. Herbel, S. L. Johnson, and G. E. Knauss",2002,"A flora and faunal list of specimens recovered from the Big Pig Dig, Badlands National Park, South Dakota","Journal of Vertebrate Paleontology",,22,3,42A,,abstract,"stated without evidence",English,,,,,"2002-10-16 14:42:04","2002-10-16 16:42:04"
"D. Royer","D. Royer","J. Alroy",9357,A.,Chandrasekharam,,,,1974,"Megafossil flora from the Genesee Locality, Alberta, Canada","Palaeontographica Abteilung B",,147,,1,41,"journal article","stated without evidence",,,,,,"2003-10-09 10:42:19","2006-12-30 16:55:24"
"J. Alroy","J. Alroy","J. Alroy",34419,"S. G. B.",Chester,"J. I.",Bloch,"R. Secord, D. M. Boyer",2010,"A new small-bodied species of Palaeonictis (Creodonta, Oxyaenidae) from the Paleocene-Eocene thermal maximum","Journal of Mammalian Evolution",,17,4,227,243,"journal article","stated with evidence",English,,,,,"2010-12-06 14:27:01","2010-12-06 18:56:27"
"A. Miller","S. Kolbe",,34650,"R. L.",Christie,,,,1964,"Geological Reconnaissance of northeastern Ellesmere Island, District of Franklin","Geological Survey of Canada Memoir",,331,,1,79,"journal article","stated without evidence",English,,,,,"2011-01-05 07:48:26","2011-01-04 14:48:26"
"J. Alroy","J. Alroy","J. Alroy",1198,"D. C.",Christophel,,,,1976,"Fossil floras of the Smoky Tower locality, Alberta, Canada","Palaeontographica Abteilung B",,157,1-4,1,43,"journal article","stated without evidence",,,"ETE reference #424.",ETE,424,"2001-03-02 15:01:31","2006-12-30 16:55:24"
